,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
591,6,194,2,15.6,3,61,12,4,19,3,2.2,949.0
592,5,320,5,11.6,22,80,4,1,13,3,1.39,603.0
593,16,321,2,15.6,3,26,16,9,17,3,2.5,1699.0
594,6,322,2,17.3,3,10,4,5,10,2,2.8,529.0
595,6,323,2,15.6,5,74,8,7,10,3,2.29,459.0
596,6,75,5,13.3,8,13,8,4,3,3,1.37,2025.0
597,6,229,2,14.0,6,17,8,3,54,3,1.7,1474.0
598,5,324,5,12.5,9,3,8,3,3,3,1.34,1670.0
599,5,249,6,15.6,9,26,8,3,64,3,2.06,1763.0
600,2,325,2,15.6,3,13,8,3,3,3,1.84,1219.0
601,2,25,2,15.6,5,15,4,5,3,3,2.1,668.48
602,3,326,2,14.0,3,62,4,8,22,3,1.6,329.0
603,8,327,4,17.3,3,79,16,9,73,3,4.14,2199.0
604,5,156,2,15.6,5,10,4,7,42,5,2.18,465.0
605,8,328,4,15.6,21,26,16,13,24,3,1.8,2299.0
606,10,329,2,15.6,6,45,8,3,10,3,2.2,1399.0
607,6,330,2,15.6,3,3,6,7,3,3,2.4,564.0
608,6,155,5,15.6,8,26,8,3,54,3,2.0,1299.0
609,3,331,2,14.0,5,58,4,2,58,3,1.6,349.0
610,6,242,2,15.6,20,81,32,19,62,3,2.5,4899.0
611,5,332,4,15.6,3,73,16,7,74,3,2.59,879.01
612,5,156,2,15.6,5,51,4,7,10,5,2.18,443.9
613,5,7,2,15.6,5,51,4,7,10,5,2.25,359.0
614,5,287,2,15.6,5,60,4,5,3,5,1.93,869.0
615,4,333,4,17.3,3,26,8,9,17,3,3.0,1168.0
616,5,156,2,15.6,3,3,4,1,42,5,2.18,569.0
617,2,325,1,15.6,3,13,8,4,3,3,1.84,1389.0
618,8,334,4,15.6,3,26,16,12,31,3,2.94,2267.86
619,3,335,5,11.6,32,82,4,8,16,8,1.25,379.0
620,2,234,2,14.0,5,60,8,3,3,3,2.31,1124.0
621,6,252,2,14.0,3,36,8,3,10,9,1.65,1465.0
622,5,17,2,15.6,3,9,4,7,19,3,2.2,776.0
623,18,336,2,15.6,5,3,8,3,3,3,2.2,799.0
624,2,325,2,15.6,5,36,4,5,10,9,1.88,932.0
625,6,9,2,15.6,3,13,8,7,28,3,2.2,899.0
626,15,337,2,14.0,3,16,2,8,21,3,1.4,239.0
627,6,53,2,15.6,3,3,4,1,3,2,2.2,468.0
628,4,338,5,13.3,9,3,6,7,3,3,1.5,639.01
629,5,116,2,15.6,3,26,8,3,17,3,2.0,1820.0
630,4,339,1,14.0,3,13,16,4,3,3,1.1,1900.0
631,5,98,4,15.6,3,26,16,12,32,3,2.62,1479.0
632,6,340,2,15.6,3,9,4,3,9,3,1.8,829.0
633,6,341,2,15.6,3,10,4,7,48,3,2.2,579.0
634,4,342,2,15.6,5,24,8,7,22,3,2.0,399.0
635,4,144,2,15.6,3,17,8,7,17,3,1.99,906.62
636,5,10,1,13.3,13,9,8,3,9,3,1.23,1869.0
637,6,343,2,14.0,5,31,2,8,16,3,1.42,249.0
638,6,118,5,13.3,8,13,8,3,3,3,1.37,1757.42
639,5,116,2,15.6,17,26,16,19,17,3,2.06,2399.0
640,6,12,4,15.6,6,26,8,9,40,3,2.5,1109.0
